molecule_chembl_id,canonical_smiles,standard_value
CHEMBL382914,CCNc1cc(/C=C/c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)ccn1,163.0
CHEMBL202787,CNc1cc(/C=C/c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)ccn1,176.0
CHEMBL381075,Nc1cc(/C=C/c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)ccn1,121.0
CHEMBL381260,N[C@H](COc1cncc(/C=C/c2ccnc(SCc3ccccc3)c2)c1)Cc1c[nH]c2ccccc12,3110.0
CHEMBL203483,N[C@H](COc1cncc(/C=C/c2ccnc(Sc3ccccc3)c2)c1)Cc1c[nH]c2ccccc12,6350.0
CHEMBL378823,N[C@H](COc1cncc(/C=C/c2ccnc(Oc3ccccc3)c2)c1)Cc1c[nH]c2ccccc12,6450.0
CHEMBL377294,COc1cc(/C=C/c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)ccn1,2670.0
CHEMBL203004,N[C@H](COc1ccc(/C=C/c2ccncc2)cn1)Cc1ccccc1,43010.0
CHEMBL206654,N[C@H](COc1cccc(/C=C/c2ccncc2)n1)Cc1c[nH]c2ccccc12,23270.0
CHEMBL202937,Cn1cc(C(CN)c2cncc(/C=C/c3ccncc3)c2)c2ccccc21,760.0
CHEMBL383254,NCC(c1ccccc1)c1cncc(/C=C/c2ccncc2)c1,284.0
CHEMBL206328,Brc1ccc(/C=C/CNCCOc2cncc(/C=C/c3ccncc3)c2)cc1,32250.0
CHEMBL383527,N[C@@H](Cc1cccc2ccccc12)C(=O)Nc1cncc(/C=C/c2ccncc2)c1,668.0
CHEMBL205514,N[C@@H](Cc1ccccc1)C(=O)Nc1cncc(/C=C/c2ccncc2)c1,3200.0
CHEMBL205415,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1cncc(/C=C/c2ccncc2)c1,278.0
CHEMBL203624,N[C@H](CNc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,9.7
CHEMBL381703,N[C@H](CNc1cnc(Cl)c(/C=C/c2ccncc2)c1)CC1CNc2ccccc21,79.0
CHEMBL203384,N[C@H](CNc1cnc(Cl)c(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,19.0
